Warehouse,Customer Name,Customer Code,SKU Name,SKU Code,UOM - Sale,Pack Size,SKU Item Selling Price,ASP,FG Dispatch Qty,FG Qty Sold,Revenue,IN-take Cost / Packet ABP,In-take Margin (IM)% - WO FM,FM,FM%,In-take Margin (IM)% - With FM,PPL,DC Dump,RTV Dump,Stock Loss Dump,Transit/damage Loss,Production PPL%,Stock Adjustment %,DC Dump%,RTV Dump %,Stock Loss Dump %,Transit/damage Loss %,Total Production PPL% & Dump%,PM%,Labour / Packet,Transport / Packet,Packaging / Packet,Labelling / Packet,Utility / Packet,Consumables / Packet,Ops Cost / Packet,Ops Cost / Packet - Supply Net Of RTV,Ops Cost %,OM%,Report Date
Mumbai,Amazon - Mumbai,AZM,Alphonso Mango(Badami) Amazon,,kg,6 EA,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,,2025-04-29
Mumbai,Amazon - Mumbai,AZM,"Pluckk Fresh Muskmelon 1 Piece, (500g-900g)",,pack,1 EA,38.0,38.0,19,19,722.0,30.0,21.1,0.0,0.0,21.1,0.0,0.0,0.0,33.6,0.0,0.0,,0.0,0.0,4.7,0.0,4.7,16.4,2.0,2.0,2.6,0,0.8,0,7.4,7.4,19.47368421052632,-3.07368421052632,2025-04-29
Mumbai,Amazon - Mumbai,AZM,Watermelon Kiran,,pack,1EA,102.0,102.0,12,12,1224.0,85.0,16.7,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,16.7,2.0,2.0,2.6,0,0.8,0,7.4,7.4,7.254901960784315,9.445098039215685,2025-04-29
Mumbai,Amazon - Mumbai,AZM,Mango Kesar,,pack,6EA,284.0,284.0,8,8,2272.0,190.0,33.1,0.0,0.0,33.1,23.8,0.0,0.0,1140.0,0.0,8.4,,0.0,0.0,50.2,0.0,58.6,-25.5,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-25.5,2025-04-29
Mumbai,Amazon - Mumbai,AZM,"Pluckk Fresh Orange Valencia, pack of 4",,pack,4EA,102.0,102.0,6,6,612.0,80.5,21.1,0.0,0.0,21.1,13.4,0.0,0.0,0.0,0.0,13.1,,0.0,0.0,0.0,0.0,13.1,7.9,2.0,2.0,2.6,0,0.8,0,7.4,7.4,7.254901960784315,0.6450980392156858,2025-04-29
Mumbai,Swiggy - Mumbai,SCM,American Sweet Corn Peeled In house,,pack,200gms,20.0,20.0,110,110,2200.0,13.0,35.0,0.0,0.0,35.0,0.3,50.6,0.0,253.0,0.0,1.5,,2.3,0.0,11.5,0.0,15.3,19.7,3.5,1.2,4.5,0,0.8,0,10.0,10.0,50.0,-30.3,2025-04-29
Mumbai,Swiggy - Mumbai,SCM,Peeled Baby Corn,,pack,0.25KG,44.0,44.0,12,12,528.0,27.5,37.5,0.0,0.0,37.5,0.0,15.7,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,3.0,34.5,1.0,1.2,3.0,0,0.8,0,6.0,6.0,13.636363636363635,20.863636363636367,2025-04-29
Mumbai,Swiggy - Mumbai,SCM,Cut Drumstick,,pack,200 gms,44.0,44.0,2,2,88.0,11.0,75.0,0.0,0.0,75.0,5.5,0.0,0.0,0.0,0.0,12.5,,0.0,0.0,0.0,0.0,12.5,62.5,3.0,1.2,3.5,0,0.8,0,8.5,8.5,19.318181818181817,43.18181818181819,2025-04-29
Mumbai,Swiggy - Mumbai,SCM,Peeled Garlic,,pack,0.1KG,23.0,23.0,1321,1321,30383.0,12.0,47.8,0.0,0.0,47.8,0.5,0.0,0.0,0.0,0.0,2.2,,0.0,0.0,0.0,0.0,2.2,45.7,1.3,1.2,2.5,0,0.8,0,5.8,5.8,25.217391304347824,20.48260869565218,2025-04-29
Mumbai,Swiggy - Mumbai,SCM,Chopped Ginger [Adrak],,pack,0.1KG,21.0,21.0,44,44,924.0,5.0,76.2,0.0,0.0,76.2,0.7,0.0,0.0,0.0,0.0,3.3,,0.0,0.0,0.0,0.0,3.3,72.9,5.0,1.2,2.5,0,0.8,0,9.5,9.5,45.23809523809524,27.661904761904765,2025-04-29
Mumbai,Swiggy - Mumbai,SCM,Diced Lady Finger,,pack,0.2KG,28.0,28.0,55,55,1540.0,11.6,58.6,0.0,0.0,58.6,5.0,19.1,0.0,47.0,0.0,17.9,,1.2,0.0,3.1,0.0,22.1,36.4,2.0,1.2,0.0,0,0.8,0,4.0,4.0,14.285714285714285,22.114285714285714,2025-04-29
Mumbai,Swiggy - Mumbai,SCM,Sliced Pumpkin Red,,pack,0.25KG,19.0,19.0,224,220,4180.0,5.3,72.1,0.0,0.0,72.1,4.0,409.5,0.0,0.0,0.0,21.1,,9.8,0.0,0.0,0.0,30.8,41.3,2.0,1.2,1.0,0,0.8,0,5.0,5.1,26.842105263157894,14.457894736842103,2025-04-29
Mumbai,Swiggy - Mumbai,SCM,Moong Sprouts,,pack,0.2Kg,20.0,20.0,101,101,2020.0,11.0,45.0,0.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,2.5,,0.0,0.0,0.0,0.0,2.5,42.5,1.0,1.2,3.5,0,0.8,0,6.5,6.5,32.5,10.0,2025-04-29
Mumbai,Swiggy - Mumbai,SCM,Sugarcane Diced,,pack,0.175 Kg,17.0,17.0,73,73,1241.0,13.0,23.5,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,23.5,0.5,1.2,0.5,0,0.8,0,3.0,3.0,17.647058823529413,5.852941176470587,2025-04-29
Mumbai,Swiggy - Mumbai,SCM,Matki Sprouts,,pack,0.2KG,21.0,21.0,55,55,1155.0,5.5,73.8,0.0,0.0,73.8,0.5,0.0,0.0,380.7,0.0,2.4,,0.0,0.0,33.0,0.0,35.3,38.5,1.0,1.2,3.5,0,0.8,0,6.5,6.5,30.952380952380953,7.5476190476190474,2025-04-29
